,date,gmsl,co2ppm,gt_anomalies
0,1993-01-01,-48.0,356.37,0.36
1,1993-02-01,-46.6,356.4,0.38
2,1993-03-01,-46.3,356.51,0.41
3,1993-04-01,-43.8,356.66,0.31
4,1993-05-01,-45.7,356.72,0.35
5,1993-06-01,-44.4,356.69,0.33
6,1993-07-01,-45.8,356.75,0.27
7,1993-08-01,-44.3,356.91,0.22
8,1993-09-01,-45.2,357.06,0.18
9,1993-10-01,-44.9,357.18,0.22
10,1993-11-01,-44.9,357.3,0.07
11,1993-12-01,-44.1,357.48,0.27
12,1994-01-01,-44.4,357.62,0.27
13,1994-02-01,-42.7,357.86,0.08
14,1994-03-01,-41.8,357.91,0.38
15,1994-04-01,-41.2,357.92,0.36
16,1994-05-01,-43.7,358.06,0.4
17,1994-06-01,-45.3,358.11,0.4
18,1994-07-01,-44.7,358.27,0.31
19,1994-08-01,-45.1,358.56,0.3
20,1994-09-01,-44.1,358.67,0.33
21,1994-10-01,-46.2,358.8,0.42
22,1994-11-01,-44.8,359.04,0.45
23,1994-12-01,-45.3,359.15,0.42
24,1995-01-01,-42.2,359.31,0.56
25,1995-02-01,-41.5,359.53,0.73
26,1995-03-01,-39.3,359.71,0.5
27,1995-04-01,-41.0,359.85,0.45
28,1995-05-01,-40.9,359.84,0.37
29,1995-06-01,-44.0,359.93,0.46
30,1995-07-01,-42.1,360.0,0.42
31,1995-08-01,-42.5,360.21,0.5
32,1995-09-01,-39.8,360.65,0.4
33,1995-10-01,-40.9,360.89,0.44
34,1995-11-01,-39.4,361.05,0.45
35,1995-12-01,-42.1,361.19,0.33
36,1996-01-01,-39.4,361.22,0.25
37,1996-02-01,-40.2,361.32,0.46
38,1996-03-01,-36.5,361.4,0.35
39,1996-04-01,-37.1,361.42,0.27
40,1996-05-01,-35.2,361.68,0.39
41,1996-06-01,-34.7,362.22,0.35
42,1996-07-01,-34.2,362.61,0.33
43,1996-08-01,-34.8,362.57,0.35
44,1996-09-01,-32.3,362.32,0.25
45,1996-10-01,-30.8,362.15,0.21
46,1996-11-01,-31.9,362.08,0.3
47,1996-12-01,-35.0,362.2,0.39
48,1997-01-01,-37.3,362.33,0.34
49,1997-02-01,-35.0,362.47,0.44
50,1997-03-01,-34.8,362.62,0.5
51,1997-04-01,-32.4,362.81,0.42
52,1997-05-01,-32.7,362.94,0.42
53,1997-06-01,-29.6,362.97,0.54
54,1997-07-01,-29.3,362.97,0.5
55,1997-08-01,-25.7,362.89,0.55
56,1997-09-01,-26.9,363.02,0.61
57,1997-10-01,-25.7,363.42,0.64
58,1997-11-01,-29.6,363.89,0.58
59,1997-12-01,-28.4,364.23,0.63
60,1998-01-01,-28.9,364.26,0.6
61,1998-02-01,-24.7,364.3,0.87
62,1998-03-01,-24.4,364.53,0.68
63,1998-04-01,-22.8,364.9,0.76
64,1998-05-01,-25.2,365.32,0.7
65,1998-06-01,-24.6,365.67,0.73
66,1998-07-01,-26.0,365.89,0.74
67,1998-08-01,-24.8,366.28,0.71
68,1998-09-01,-25.3,366.62,0.52
69,1998-10-01,-24.9,366.78,0.48
70,1998-11-01,-24.9,366.85,0.42
71,1998-12-01,-24.8,366.97,0.6
72,1999-01-01,-23.6,367.18,0.51
73,1999-02-01,-24.1,367.37,0.7
74,1999-03-01,-24.6,367.52,0.4
75,1999-04-01,-26.9,367.65,0.47
76,1999-05-01,-27.1,367.7,0.4
77,1999-06-01,-27.9,367.79,0.42
78,1999-07-01,-26.2,367.74,0.4
79,1999-08-01,-26.6,367.78,0.36
80,1999-09-01,-23.4,368.0,0.39
81,1999-10-01,-24.8,368.18,0.35
82,1999-11-01,-21.2,368.28,0.35
83,1999-12-01,-23.3,368.36,0.53
84,2000-01-01,-19.9,368.5,0.34
85,2000-02-01,-21.6,368.54,0.56
86,2000-03-01,-20.3,368.6,0.55
87,2000-04-01,-23.3,368.69,0.64
88,2000-05-01,-22.8,368.72,0.43
89,2000-06-01,-25.1,368.79,0.39
90,2000-07-01,-22.9,369.05,0.4
91,2000-08-01,-23.7,369.26,0.46
92,2000-09-01,-19.8,369.24,0.42
93,2000-10-01,-20.3,369.3,0.32
94,2000-11-01,-19.4,369.46,0.27
