Time,GMSL (monthly),GMSL (smoothed)
1993.042,   -48.0,   -48.0
1993.125,   -50.0,   -46.6
1993.208,   -41.6,   -46.3
1993.292,   -47.3,   -43.8
1993.375,   -42.4,   -45.7
1993.458,   -47.4,   -44.4
1993.542,   -43.4,   -45.8
1993.625,   -46.5,   -44.3
1993.708,   -43.1,   -45.2
1993.792,   -46.1,   -44.9
1993.875,   -45.6,   -44.9
1993.958,   -43.1,   -44.1
1994.042,   -43.6,   -44.4
1994.125,   -46.6,   -42.7
1994.208,   -37.8,   -41.8
1994.292,   -40.9,   -41.2
1994.375,   -45.0,   -43.7
1994.458,   -45.2,   -45.3
1994.542,   -45.8,   -44.7
1994.625,   -43.3,   -45.1
1994.708,   -46.3,   -44.1
1994.792,   -42.6,   -46.2
1994.875,   -49.6,   -44.8
1994.958,   -42.2,   -45.3
1995.042,   -44.1,   -42.2
1995.125,   -40.3,   -41.5
1995.208,   -40.2,   -39.3
1995.292,   -37.5,   -41.0
1995.375,   -45.3,   -40.9
1995.458,   -39.9,   -44.0
1995.542,   -46.6,   -42.1
1995.625,   -39.6,   -42.5
1995.708,   -41.3,   -39.8
1995.792,   -38.5,   -40.9
1995.875,   -43.0,   -39.4
1995.958,   -36.9,   -42.1
1996.042,   -46.5,   -39.4
1996.125,   -34.7,   -40.2
1996.208,   -39.5,   -36.5
1996.292,   -35.2,   -37.1
1996.375,   -36.6,   -35.2
1996.458,   -33.7,   -34.7
1996.542,   -33.9,   -34.2
1996.625,   -34.9,   -34.8
1996.708,   -35.5,   -32.3
1996.792,   -26.5,   -30.8
1996.875,   -30.5,   -31.9
1996.958,   -38.7,   -35.0
1997.042,   -35.8,   -37.3
1997.125,   -37.4,   -35.0
1997.208,   -32.0,   -34.8
1997.292,   -35.1,   -32.4
1997.375,   -30.2,   -32.7
1997.458,   -32.9,   -29.6
1997.542,   -25.7,   -29.3
1997.625,   -29.3,   -25.7
1997.708,   -22.1,   -26.9
1997.792,   -29.2,   -25.7
1997.875,   -25.8,   -29.6
1997.958,   -33.7,   -28.4
1998.042,   -25.6,   -28.9
1998.125,   -27.4,   -24.7
1998.208,   -21.1,   -24.4
1998.292,   -24.5,   -22.8
1998.375,   -22.7,   -25.2
1998.458,   -28.2,   -24.6
1998.542,   -22.8,   -26.0
1998.625,   -27.1,   -24.8
1998.708,   -24.7,   -25.3
1998.792,   -24.3,   -24.9
1998.875,   -25.6,   -24.9
1998.958,   -24.8,   -24.8
1999.042,   -23.9,   -23.6
1999.125,   -22.0,   -24.1
1999.208,   -26.5,   -24.6
1999.292,   -25.3,   -26.9
1999.375,   -29.0,   -27.1
1999.458,   -27.1,   -27.9
1999.542,   -27.6,   -26.2
1999.625,   -24.0,   -26.6
1999.708,   -28.3,   -23.4
1999.792,   -18.0,   -24.8
1999.875,   -28.2,   -21.2
1999.958,   -17.5,   -23.3
2000.042,   -24.1,   -19.9
2000.125,   -18.1,   -21.6
2000.208,   -22.5,   -20.3
2000.292,   -20.4,   -23.3
2000.375,   -27.0,   -22.8
2000.458,   -20.9,   -25.1
2000.542,   -27.4,   -22.9
2000.625,   -20.5,   -23.7
2000.708,   -23.2,   -19.8
2000.792,   -15.7,   -20.3
2000.875,   -22.0,   -19.4
2000.958,   -20.6,   -20.7
2001.042,   -19.6,   -19.6
2001.125,   -18.6,   -18.3
2001.208,   -16.8,   -17.6
2001.292,   -17.4,   -17.6
2001.375,   -18.7,   -18.3
2001.458,   -18.8,   -17.4
2001.542,   -14.8,   -17.6
2001.625,   -19.2,   -15.1
2001.708,   -11.5,   -16.3
2001.792,   -18.2,   -14.4
2001.875,   -13.4,   -17.1
2001.958,   -19.7,   -15.8
2002.042,   -14.2,   -16.1
2002.125,   -14.4,   -14.5
2002.208,   -14.9,   -14.9
2002.292,   -15.5,   -14.8
2002.375,   -13.9,   -15.3
2002.458,   -16.6,   -14.1
2002.542,   -11.9,   -12.9
2002.625,   -10.1,   -11.8
2002.708,   -13.4,   -11.2
2002.792,    -9.9,   -12.4
2002.875,   -13.8,   -12.3
2002.958,   -13.1,   -13.0
2003.042,   -12.0,   -11.6
2003.125,    -9.7,   -10.7
2003.208,   -10.5,   -10.6
2003.292,   -11.5,   -11.1
2003.375,   -11.3,   -12.4
2003.458,   -14.4,   -13.0
2003.542,   -13.2,   -13.6
2003.625,   -13.3,   -11.7
2003.708,    -8.6,   -10.8
2003.792,   -10.5,   -10.2
2003.875,   -11.6,   -11.0
2003.958,   -11.1,   -10.0
2004.042,    -7.4,    -9.4
2004.125,    -9.8,    -8.3
2004.208,    -7.8,    -8.8
2004.292,    -8.7,    -9.0
2004.375,   -10.5,   -10.1
2004.458,   -11.0,   -10.1
2004.542,    -8.9,   -10.2
2004.625,   -10.6,    -8.9
2004.708,    -7.2,    -9.5
2004.792,   -10.7,    -9.6
2004.875,   -10.8,    -9.5
2004.958,    -7.0,    -8.7
2005.042,    -8.4,    -7.1
2005.125,    -5.8,    -6.2
2005.208,    -4.5,    -5.8
2005.292,    -6.9,    -5.9
2005.375,    -6.3,    -6.3
